node1	label	node2
n1:audit-mls	n2:type	n3:Ontology
n1:audit-mls	n3:versionIRI	n1:audit-mls/1.0
n1:audit-mls	n3:imports	n4:
n3:qualifiedCardinality	n2:type	n3:AnnotationProperty
n5:hasValue	n2:type	n3:AnnotationProperty
n1:audit-mls#belongsToDataset	n2:type	n3:ObjectProperty
n1:audit-mls#belongsToDataset	n3:inverseOf	n1:audit-mls#hasFeature
n1:audit-mls#belongsToDataset	n6:domain	n5:Feature
n1:audit-mls#belongsToDataset	n6:range	n5:Dataset
n1:audit-mls#hasFeature	n2:type	n3:ObjectProperty
n1:audit-mls#hasFeature	n6:domain	n5:Dataset
n1:audit-mls#hasFeature	n6:range	n5:Feature
n1:audit-mls#categoryName	n2:type	n3:DatatypeProperty
n1:audit-mls#categoryName	n6:domain	n1:audit-mls#Category
n1:audit-mls#categoryName	n6:range	xml-schema-type:string
n1:audit-mls#categoryNumberofInstances	n2:type	n3:DatatypeProperty
n1:audit-mls#categoryNumberofInstances	n6:domain	n1:audit-mls#Category
n1:audit-mls#categoryNumberofInstances	n6:range	xml-schema-type:int
n1:audit-mls#datasetName	n2:type	n3:DatatypeProperty
n1:audit-mls#datasetName	n6:domain	n5:Dataset
n1:audit-mls#datasetName	n6:range	xml-schema-type:string
n1:audit-mls#featureName	n2:type	n3:DatatypeProperty
n1:audit-mls#featureName	n6:domain	n5:Feature
n1:audit-mls#featureName	n6:range	xml-schema-type:string
n1:audit-mls#rangeMaxValue	n2:type	n3:DatatypeProperty
n1:audit-mls#rangeMaxValue	n6:domain	n1:audit-mls#NumericalRange
n1:audit-mls#rangeMinValue	n2:type	n3:DatatypeProperty
n1:audit-mls#rangeMinValue	n6:domain	n1:audit-mls#NumericalRange
n7:Error1	n2:type	n3:Class
n7:Error2	n2:type	n3:Class
n7:Error2	n3:equivalentClass	n1:audit-mls#NumericalRange
n5:Dataset	n2:type	n3:Class
n5:DatasetCharacteristic	n2:type	n3:Class
n5:Feature	n2:type	n3:Class
n5:FeatureCharacteristic	n2:type	n3:Class
n1:audit-mls#CategoricalFeature	n2:type	n3:Class
n1:audit-mls#CategoricalFeature	n3:equivalentClass	XAbdCkHVisYRC7J2VtcVjXL:g0
n1:audit-mls#CategoricalFeature	n6:subClassOf	n5:Feature
XAbdCkHVisYRC7J2VtcVjXL:g0	n3:intersectionOf	XAbdCkHVisYRC7J2VtcVjXL:g1
XAbdCkHVisYRC7J2VtcVjXL:g0	n2:type	n3:Class
XAbdCkHVisYRC7J2VtcVjXL:g1	n2:first	n7:Error1
XAbdCkHVisYRC7J2VtcVjXL:g1	n2:rest	XAbdCkHVisYRC7J2VtcVjXL:g2
XAbdCkHVisYRC7J2VtcVjXL:g2	n2:first	XAbdCkHVisYRC7J2VtcVjXL:g3
XAbdCkHVisYRC7J2VtcVjXL:g2	n2:rest	n2:nil
XAbdCkHVisYRC7J2VtcVjXL:g3	n2:type	n3:Restriction
XAbdCkHVisYRC7J2VtcVjXL:g3	n3:onProperty	n5:hasQuality
XAbdCkHVisYRC7J2VtcVjXL:g3	n3:someValuesFrom	n1:audit-mls#Category
n1:audit-mls#Category	n2:type	n3:Class
n1:audit-mls#Category	n6:subClassOf	n5:FeatureCharacteristic
n1:audit-mls#NumberOfCategories	n2:type	n3:Class
n1:audit-mls#NumberOfCategories	n6:subClassOf	n5:FeatureCharacteristic
n1:audit-mls#NumberOfFeatures	n2:type	n3:Class
n1:audit-mls#NumberOfFeatures	n6:subClassOf	n5:DatasetCharacteristic
n1:audit-mls#NumberOfInstances	n2:type	n3:Class
n1:audit-mls#NumberOfInstances	n6:subClassOf	n5:DatasetCharacteristic
n1:audit-mls#NumberOfUniqueValues	n2:type	n3:Class
n1:audit-mls#NumberOfUniqueValues	n6:subClassOf	n5:FeatureCharacteristic
n1:audit-mls#NumericalFeature	n2:type	n3:Class
n1:audit-mls#NumericalFeature	n6:subClassOf	n5:Feature
n1:audit-mls#NumericalRange	n2:type	n3:Class
n1:audit-mls#NumericalRange	n6:subClassOf	n5:FeatureCharacteristic
n1:audit-mls#TextualFeature	n2:type	n3:Class
n1:audit-mls#TextualFeature	n3:equivalentClass	XAbdCkHVisYRC7J2VtcVjXL:g4
n1:audit-mls#TextualFeature	n6:subClassOf	n5:Feature
XAbdCkHVisYRC7J2VtcVjXL:g4	n2:type	n3:Restriction
XAbdCkHVisYRC7J2VtcVjXL:g4	n3:onProperty	n5:hasQuality
XAbdCkHVisYRC7J2VtcVjXL:g4	n3:someValuesFrom	n1:audit-mls#NumberOfUniqueValues
n1:audit-mls#category01_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category01_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category01_feature03	n1:audit-mls#categoryName	"hate"
n1:audit-mls#category01_feature03	n1:audit-mls#categoryNumberofInstances	15267
n1:audit-mls#category02_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#category02_feature03	n2:type	n1:audit-mls#Category
n1:audit-mls#category02_feature03	n1:audit-mls#categoryName	"neutral"
n1:audit-mls#category02_feature03	n1:audit-mls#categoryNumberofInstances	674338
n1:audit-mls#characteristic01_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_dataset01	n2:type	n1:audit-mls#NumberOfFeatures
n1:audit-mls#characteristic01_dataset01	n5:hasValue	3
n1:audit-mls#characteristic01_feature01	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_feature01	n2:type	n1:audit-mls#NumericalRange
n1:audit-mls#characteristic01_feature01	n1:audit-mls#rangeMaxValue	1000
n1:audit-mls#characteristic01_feature01	n1:audit-mls#rangeMinValue	1
n1:audit-mls#characteristic01_feature02	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_feature02	n2:type	n1:audit-mls#NumberOfUniqueValues
n1:audit-mls#characteristic01_feature02	n5:hasValue	393822
n1:audit-mls#characteristic01_feature03	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic01_feature03	n2:type	n1:audit-mls#NumberOfCategories
n1:audit-mls#characteristic01_feature03	n5:hasValue	13
n1:audit-mls#characteristic02_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#characteristic02_dataset01	n2:type	n1:audit-mls#NumberOfInstances
n1:audit-mls#characteristic02_dataset01	n5:hasValue	1000000
n1:audit-mls#dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#dataset01	n2:type	n5:Dataset
n1:audit-mls#dataset01	n1:audit-mls#hasFeature	n1:audit-mls#feature01_dataset01
n1:audit-mls#dataset01	n1:audit-mls#hasFeature	n1:audit-mls#feature02_dataset01
n1:audit-mls#dataset01	n1:audit-mls#hasFeature	n1:audit-mls#feature03_dataset01
n1:audit-mls#dataset01	n1:audit-mls#datasetName	"Dataset Emotion Analysis"
n1:audit-mls#dataset01	n5:hasQuality	n1:audit-mls#characteristic01_dataset01
n1:audit-mls#dataset01	n5:hasQuality	n1:audit-mls#characteristic02_dataset01
n1:audit-mls#feature01_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#feature01_dataset01	n2:type	n1:audit-mls#NumericalFeature
n1:audit-mls#feature01_dataset01	n1:audit-mls#featureName	"id"
n1:audit-mls#feature01_dataset01	n5:hasQuality	n1:audit-mls#characteristic01_feature01
n1:audit-mls#feature02_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#feature02_dataset01	n2:type	n1:audit-mls#TextualFeature
n1:audit-mls#feature02_dataset01	n1:audit-mls#featureName	"text"
n1:audit-mls#feature02_dataset01	n5:hasQuality	n1:audit-mls#characteristic01_feature02
n1:audit-mls#feature03_dataset01	n2:type	n3:NamedIndividual
n1:audit-mls#feature03_dataset01	n2:type	n1:audit-mls#CategoricalFeature
n1:audit-mls#feature03_dataset01	n5:hasQuality	n1:audit-mls#category01_feature03
n1:audit-mls#feature03_dataset01	n5:hasQuality	n1:audit-mls#category02_feature03
n1:audit-mls#feature03_dataset01	n5:hasQuality	n1:audit-mls#characteristic01_feature03
XAbdCkHVisYRC7J2VtcVjXL:g5	n3:qualifiedCardinality	1
XAbdCkHVisYRC7J2VtcVjXL:g6	n3:qualifiedCardinality	1
n1	prefix_expansion	"https://www.gsi.upm.es/ontologies/"
n2	prefix_expansion	"http://www.w3.org/1999/02/22-rdf-syntax-ns#"
n3	prefix_expansion	"http://www.w3.org/2002/07/owl#"
n4	prefix_expansion	"http://www.w3.org/2016/03/mls#"
n5	prefix_expansion	"http://www.w3.org/ns/mls#"
n6	prefix_expansion	"http://www.w3.org/2000/01/rdf-schema#"
n7	prefix_expansion	"http://org.semanticweb.owlapi/error#"
xml-schema-type	prefix_expansion	"http://www.w3.org/2001/XMLSchema#"
